Targname,Catname,MJDstart, F(Si3),  E(Si3),  B(Si3),  F(N5),  E(N5),  B(N5),  F(C2),  E(C2),  B(C2),  F(Si4),  E(Si4),  B(Si4)
GJ436                          ,  ,         56101.308,  2.71E-016,  7.88E-017,  2.13E-017,  5.94E-016,  5.45E-017,  4.09E-017,  7.71E-016,  7.81E-017,  -4.32E-017,  4.35E-016,  4.29E-017,  -3.42E-017
GJ436                          ,  ,         57198.984,  6.24E-016,  7.78E-017,  2.64E-017,  1.07E-015,  7.56E-017,  2.19E-017,  1.50E-015,  1.15E-016,  -1.84E-017,  7.51E-016,  5.74E-017,  -8.37E-018
GJ436                          ,  ,         57199.097,  5.87E-016,  5.60E-017,  2.99E-017,  1.08E-015,  6.71E-017,  5.43E-017,  1.56E-015,  1.03E-016,  5.02E-018,  8.26E-016,  5.34E-017,  4.05E-017
GJ-436                         ,  ,         58108.512,  3.54E-016,  3.46E-017,  1.38E-017,  8.50E-016,  5.10E-017,  2.34E-017,  9.36E-016,  6.22E-017,  7.57E-018,  3.12E-016,  2.67E-017,  8.01E-017
GJ-436                         ,  ,         58142.877,  4.84E-016,  4.17E-017,  1.06E-017,  8.25E-016,  5.08E-017,  4.28E-017,  9.82E-016,  6.45E-017,  1.87E-018,  5.79E-016,  3.86E-017,  4.68E-017
GJ-436                         ,  ,         58076.854,  3.48E-016,  3.48E-017,  2.48E-017,  7.54E-016,  4.74E-017,  4.95E-017,  9.10E-016,  6.13E-017,  1.69E-017,  3.66E-016,  2.88E-017,  6.92E-017
GJ-436                         ,  ,         58177.314,  3.61E-016,  3.56E-017,  2.46E-017,  6.40E-016,  4.25E-017,  6.44E-017,  8.05E-016,  5.59E-017,  1.54E-017,  4.72E-016,  3.55E-017,  8.70E-017
GJ436                          ,  ,         58110.893,  6.29E-016,  1.14E-016,  1.55E-017,  6.67E-016,  7.55E-017,  1.14E-016,  1.36E-015,  1.44E-016,  3.89E-017,  7.54E-016,  8.26E-017,  1.39E-016
GJ436                          ,  ,         58111.414,  6.00E-016,  1.14E-016,  4.08E-017,  9.95E-016,  9.03E-017,  7.17E-017,  1.19E-015,  1.35E-016,  3.08E-017,  3.32E-016,  6.73E-017,  2.53E-016
GJ436                          ,  ,         58111.687,  6.54E-016,  1.17E-016,  3.28E-017,  8.03E-016,  8.14E-017,  9.21E-017,  1.30E-015,  1.38E-016,  -1.07E-017,  7.00E-016,  7.39E-017,  2.03E-017
GJ436                          ,  ,         58109.900,  2.63E-016,  9.56E-017,  5.89E-017,  8.91E-016,  8.17E-017,  1.39E-017,  1.02E-015,  1.25E-016,  3.94E-017,  3.72E-016,  6.02E-017,  8.07E-017
GJ436                          ,  ,         58137.434,  4.83E-016,  1.08E-016,  -1.92E-017,  8.88E-016,  8.60E-017,  5.95E-017,  1.08E-015,  1.29E-016,  -2.69E-017,  2.87E-016,  6.68E-017,  2.50E-016
GJ436                          ,  ,         58137.644,  6.73E-016,  1.21E-016,  1.63E-017,  9.30E-016,  8.58E-017,  1.66E-017,  1.46E-015,  1.49E-016,  -2.72E-017,  7.46E-016,  8.14E-017,  8.15E-017
GJ436                          ,  ,         58172.347,  3.63E-016,  1.02E-016,  5.05E-018,  8.45E-016,  8.26E-017,  3.55E-017,  9.37E-016,  1.25E-016,  4.51E-017,  4.35E-016,  6.59E-017,  8.26E-017
GJ436                          ,  ,         58157.578,  2.90E-016,  1.04E-016,  9.94E-017,  7.85E-016,  7.93E-017,  3.14E-017,  1.05E-015,  1.29E-016,  5.78E-018,  6.03E-016,  7.40E-017,  7.59E-017
